curso,ano,prova,tipoquestao,idquestao,objeto,objetodetalhado,gabarito,acertoscurso,acertosregiao,acertosbrasil,acertosdif,texto,imagem,urlprova,urlsintese,urlcurso,urlcrop
CC,2017,Específica,Discursiva,D3,Algoritmos e Estruturas de Dados.,"P 01: crítico na identificação e criativo na resolução de problemas computacionais, contribuindo para o desenvolvimento de sua área e da sociedade
R 01: criar soluções algorítmicas para problemas em qualquer domínio de conhecimento e de aplicação
OC 01: Algoritmos e Estruturas de Dados.",-,"43,8","30,1","24,6","19,2",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Específica,Discursiva,D4,Engenharia de Software e Interação Homem-Computador.,"P 02: racional na utilização dos recursos computacionais disponíveis, de acordo com o contexto, com foco na eficiência e eficácia
R 02: especificar, projetar, implementar, validar e promover a evolução de sistemas computacionais, empregando teorias,técnicas e ferramentas adequadas
OC 02: Engenharia de Software e Interação Homem-Computador.",-,"28,8","29,3",26,"2,8",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Específica,Discursiva,D5,Teoria dos Grafos. Algoritmos e Estruturas de Dados.,"P 01: crítico na identificação e criativo na resolução de problemas computacionais, contribuindo para o desenvolvimento de sua área e da sociedade
R 06: explorar os fundamentos da computação para estudos e avanços da área
OC 13: Teoria dos Grafos
OC 01: Algoritmos e Estruturas de Dados.",-,"64,6","42,3","34,7","29,9",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Específica,Objetiva,9,Algoritmos e Estruturas de Dados.,"P 02: racional na utilização dos recursos computacionais disponíveis, de acordo com o contexto, com foco na eficiência e eficácia
R 01: criar soluções algorítmicas para problemas em qualquer domínio de conhecimento e de aplicação
OC 01: Algoritmos e Estruturas de Dados.",A,"38,5",42,"38,1","0,4",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Específica,Objetiva,10,Engenharia de Software e Interação Homem-Computador.,"P 01: crítico na identificação e criativo na resolução de problemas computacionais, contribuindo para o desenvolvimento de sua área e da sociedade
R 03: gerenciar projetos de sistemas computacionais aplicando métodos, boas práticas e ferramentas adequadas
OC 02: Engenharia de Software e Interação Homem-Computador.",C,"11,5","22,2","19,2","-7,7",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,https://drive.google.com/uc?export=download&id=1WwFg96uX3NrrGUd2gl0P10XKptRp-bFk
CC,2017,Específica,Objetiva,11,Paradigmas de Linguagens de Programação.,"P 01: crítico na identificação e criativo na resolução de problemas computacionais, contribuindo para o desenvolvimento de sua área e da sociedade
R 02: especificar, projetar, implementar, validar e promover a evolução de sistemas computacionais, empregando teorias,técnicas e ferramentas adequadas
OC 08: Paradigmas de Linguagens de Programação.",E,"65,4","57,7","50,4",15,,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,https://drive.google.com/uc?export=download&id=16TmzMLC4cXLhEwSCUJzlelNP_sVO9i-T
CC,2017,Específica,Objetiva,12,Arquitetura de Computadores e Sistemas Operacionais.,"P 01: crítico na identificação e criativo na resolução de problemas computacionais, contribuindo para o desenvolvimento de sua área e da sociedade
R 04: especificar, projetar, implementar, manter e gerir infraestruturas de hardware e software, empregando teorias, técnicas eferramentas adequadas
OC 05: Arquitetura de Computadores e Sistemas Operacionais.",C,"46,2","48,3","47,4","-1,2",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,https://drive.google.com/uc?export=download&id=1aJcrgt7DQOXjoa2GwuaH-kgi0is-xgru
CC,2017,Específica,Objetiva,13,Sistemas Digitais.,"P 02: racional na utilização dos recursos computacionais disponíveis, de acordo com o contexto, com foco na eficiência e eficácia
R 04: especificar, projetar, implementar, manter e gerir infraestruturas de hardware e software, empregando teorias, técnicas eferramentas adequadas
OC 04: Sistemas Digitais.",B,"69,2","62,1","56,4","12,8",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Específica,Objetiva,14,Lógica e Matemática Discreta.,"P 05: atento à importância da investigação científica integrando diversas áreas de conhecimento para promover a inovação
R 06: explorar os fundamentos da computação para estudos e avanços da área
OC 06: Lógica e Matemática Discreta.",C,"38,5","39,9","39,9","-1,4",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Específica,Objetiva,15,Redes de computadores.,"P 02: racional na utilização dos recursos computacionais disponíveis, de acordo com o contexto, com foco na eficiência e eficácia
R 05: gerenciar os riscos envolvidos na concepção e uso de sistemas computacionais
OC 09: Redes de computadores.",D,"26,9","28,2","25,9",1,,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Específica,Objetiva,16,"Ética, Computador e Sociedade.","P 04: ético e reflexivo em relação ao impacto da computaçãoe suas tecnologias na sociedade e no ambiente
R 05: gerenciar os riscos envolvidos na concepção e uso de sistemas computacionais
OC 03: Ética, Computador e Sociedade.",E,"69,2","69,4",66,"3,2",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Específica,Objetiva,17,Inteligência Artificial e Computacional.,"P 05: atento à importância da investigação científica integrando diversas áreas de conhecimento para promover a inovação
R 02: especificar, projetar, implementar, validar e promover a evolução de sistemas computacionais, empregando teorias,técnicas e ferramentas adequadas
OC 10: Inteligência Artificial e Computacional.",A,"88,5","81,5","79,7","8,8",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Específica,Objetiva,18,Algoritmos e Estruturas de Dados.,"P 01: crítico na identificação e criativo na resolução de problemas computacionais, contribuindo para o desenvolvimento de sua área e da sociedade
R 02: especificar, projetar, implementar, validar e promover a evolução de sistemas computacionais, empregando teorias,técnicas e ferramentas adequadas
OC 01: Algoritmos e Estruturas de Dados.",D,"46,2","39,7","38,1","8,1",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Específica,Objetiva,19,Banco de Dados.,"P 02: racional na utilização dos recursos computacionais disponíveis, de acordo com o contexto, com foco na eficiência e eficácia
R 02: especificar, projetar, implementar, validar e promover a evolução de sistemas computacionais, empregando teorias,técnicas e ferramentas adequadas
OC 11: Banco de Dados.",E,"34,6","60,5","58,9","-24,3",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Específica,Objetiva,20,Redes de Computadores.,"P 02: racional na utilização dos recursos computacionais disponíveis, de acordo com o contexto, com foco na eficiência e eficácia
R 04: especificar, projetar, implementar, manter e gerir infraestruturas de hardware e software, empregando teorias, técnicas eferramentas adequadas
OC 09: Redes de Computadores.",D,"73,1","64,7","60,9","12,2",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Específica,Objetiva,21,Lógica e Matemática Discreta.,"P 02: racional na utilização dos recursos computacionais disponíveis, de acordo com o contexto, com foco na eficiência e eficácia
R 06: explorar os fundamentos da computação para estudos e avanços da área
OC 06: Lógica e Matemática Discreta.",-,-,-,-,-,,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Específica,Objetiva,22,Fundamentos e Técnicas de Programação.,"P 01: crítico na identificação e criativo na resolução de problemas computacionais, contribuindo para o desenvolvimento de sua área e da sociedade
R 02: especificar, projetar, implementar, validar e promover a evolução de sistemas computacionais, empregando teorias,técnicas e ferramentas adequadas
OC 07: Fundamentos e Técnicas de Programação.",C,"69,2","57,4","52,5","16,7",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Específica,Objetiva,23,Teoria da Computação.,"P 05: atento à importância da investigação científica integrando diversas áreas de conhecimento para promover a inovação
R 06: explorar os fundamentos da computação para estudos e avanços da área
OC 16: Teoria da Computação.",A,"19,2","20,8","18,6","0,6",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Específica,Objetiva,24,Teoria dos Grafos. Algoritmos e Estruturas de Dados.,"P 01: crítico na identificação e criativo na resolução de problemas computacionais, contribuindo para o desenvolvimento de sua área e da sociedade
R 06: explorar os fundamentos da computação para estudos e avanços da área
OC 13: Teoria dos Grafos
OC 01: Algoritmos e Estruturas de Dados.",E,"46,2","31,7","31,4","14,8",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Específica,Objetiva,25,Teoria da Computação. Algoritmos e Estruturas de Dados.,"P 02: racional na utilização dos recursos computacionais disponíveis, de acordo com o contexto, com foco na eficiência e eficácia
R 01: criar soluções algorítmicas para problemas em qualquer domínio de conhecimento e de aplicação
OC 16: Teoria da Computação
OC 01: Algoritmos e Estruturas de Dados.",-,-,-,-,-,,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Específica,Objetiva,26,Computação Gráfica e Processamento de Imagem.,"P 02: racional na utilização dos recursos computacionais disponíveis, de acordo com o contexto, com foco na eficiência e eficácia
R 06: explorar os fundamentos da computação para estudos e avanços da área
OC 12: Computação Gráfica e Processamento de Imagem.",-,-,-,-,-,,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Específica,Objetiva,27,Computação Gráfica e Processamento de Imagem.,"P 05: atento à importância da investigação científica integrando diversas áreas de conhecimento para promover a inovação
R 06: explorar os fundamentos da computação para estudos e avanços da área
OC 12: Computação Gráfica e Processamento de Imagem.",B,"34,6","39,8","34,8","-0,2",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Específica,Objetiva,28,Engenharia de Software e Interação Homem-Computador.,"P 03: cooperativo e empreendedor no atendimento às demandas tecnológicas contemporâneas
R 03: gerenciar projetos de sistemas computacionais aplicando métodos, boas práticas e ferramentas adequadas
OC 02: Engenharia de Software e Interação Homem-Computador.",D,"53,8","66,2","62,7","-8,9",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Específica,Objetiva,29,Arquitetura de Computadores e Sistemas Operacionais.,"P 02: racional na utilização dos recursos computacionais disponíveis, de acordo com o contexto, com foco na eficiência e eficácia
R 04: especificar, projetar, implementar, manter e gerir infraestruturas de hardware e software, empregando teorias, técnicas eferramentas adequadas
OC 05: Arquitetura de Computadores e Sistemas Operacionais.",E,"57,7",28,"25,9","31,8",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Específica,Objetiva,30,Compiladores.,"P 02: racional na utilização dos recursos computacionais disponíveis, de acordo com o contexto, com foco na eficiência e eficácia
R 06: explorar os fundamentos da computação para estudos e avanços da área
OC 17: Compiladores.",B,"42,3","44,8","39,8","2,5",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Específica,Objetiva,31,Sistemas Distribuídos.,"P 01: crítico na identificação e criativo na resolução de problemas computacionais, contribuindo para o desenvolvimento de sua área e da sociedade
R 04: especificar, projetar, implementar, manter e gerir infraestruturas de hardware e software, empregando teorias, técnicas eferramentas adequadas
OC 15: Sistemas Distribuídos.",E,"69,2","41,2","33,3","35,9",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Específica,Objetiva,32,Inteligência Artificial e Computacional.,"P 02: racional na utilização dos recursos computacionais disponíveis, de acordo com o contexto, com foco na eficiência e eficácia
R 02: especificar, projetar, implementar, validar e promover a evolução de sistemas computacionais, empregando teorias,técnicas e ferramentas adequadas
OC 10: Inteligência Artificial e Computacional.",B,"38,5","38,1","37,7","0,8",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Específica,Objetiva,33,Teoria da Computação. Algoritmos e Estruturas de Dados.,"P 02: racional na utilização dos recursos computacionais disponíveis, de acordo com o contexto, com foco na eficiência e eficácia
R 01: criar soluções algorítmicas para problemas em qualquer domínio de conhecimento e de aplicação
OC 16: Teoria da Computação
OC 01: Algoritmos e Estruturas de Dados.",D,"26,9","29,7","28,9",-2,,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Específica,Objetiva,34,Banco de Dados.,"P 02: racional na utilização dos recursos computacionais disponíveis, de acordo com o contexto, com foco na eficiência e eficácia
R 03: gerenciar projetos de sistemas computacionais aplicando métodos, boas práticas e ferramentas adequadas
OC 11: Banco de Dados.",A,"26,9","20,6","20,5","6,4",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
CC,2017,Específica,Objetiva,35,Arquitetura de Computadores e Sistemas Operacionais Sistemas Distribuídos.,"P 02: racional na utilização dos recursos computacionais disponíveis, de acordo com o contexto, com foco na eficiência e eficácia
R 05: gerenciar os riscos envolvidos na concepção e uso de sistemas computacionais
OC 05: Arquitetura de Computadores e Sistemas Operacionais OC 15: Sistemas Distribuídos.",E,"42,3","34,9",31,"11,3",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,
